rank,company,founded,employees,score,ceo,state,hq,industry
64,Bus Eireann - Irish Bus,1987,"1,001 - 5,000",7.35,Stephen Kent,Dublin,Dublin,Transportation and Logistics
65,SAP,1997,"1,001 - 5,000",7.35,Michiel Verhoeven,Dublin,Dublin,"IT, Software and Services"
66,Amazon,2006,"1,001 - 5,000",7.34,Andy Jassy,Dublin,Dublin,"Internet, Gaming, and eCommerce"
67,Deloitte,1845,"1,001 - 5,000",7.34,Harry Goddard,Dublin,Dublin,Consulting and Accounting
68,Our Lady`s Hospice & Care Services,1879,"501 - 1,000",7.32,Audrey Houlihan,Dublin,Dublin,Health Care
69,HSBC Bank,1992,201 - 500,7.31,Alan Duffy,Dublin,Dublin,Banking and Financial Services
70,New Look,2003,"501 - 1,000",7.30,Nigel Oddy,Dublin,Dublin,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
71,Bausch & Lomb,1980,"1,001 - 5,000",7.30,Ben Hesketh,Waterford,Waterford,Health Care
72,Lilly,1978,"1,001 - 5,000",7.30,Laura Demayo Steele,Cork,Kinsale,Drugs and Biotechnology
73,Supermacs,1978,"1,001 - 5,000",7.29,Pat McDonagh,Galway,Ballybrit,Restaurants
74,Zara,2003,201 - 500,7.27,Óscar García Maceiras,Dublin,Dublin,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
75,Beacon Hospital,2006,"1,001 - 5,000",7.27,Michael Cullen,Dublin,Sandyford,Health Care
76,Grant Thornton,1899,"1,001 - 5,000",7.26,Michael McAteer,Dublin,Dublin,Consulting and Accounting
77,DSV,1976,"501 - 1,000",7.26,Morten Landry,Kildare,Naas,Transportation and Logistics
78,Fiserv,2017,"501 - 1,000",7.24,Alan Burton,Leinster,Dublin,Banking and Financial Services
79,Novartis,1996,"1,001 - 5,000",7.24,Audrey Derveloy,Dublin,Dublin,Drugs and Biotechnology
80,Lidl,2000,"1,001 - 5,000",7.23,John Paul Scally,Dublin,Tallaght,Retail
81,Siemens,1925,"501 - 1,000",7.22,Carl Ennis,Dublin,Dublin,"Engineering, Manufacturing"
82,Workday,2008,"1,001 - 5,000",7.21,Peter Gamble,Dublin,Dublin,"IT, Software and Services"
83,Lufthansa Technik Shannon,1992,201 - 500,7.21,Patrick Shine,Clare,Shannon,"Aviation, Leasing, and related Services"
84,Saint-Gobain,1947,"501 - 1,000",7.21,Mike Chaldecott,Dublin,Dublin,Construction and related Services
85,Cisco,1999,201 - 500,7.20,David Meads,Dublin,Dublin,"Internet, Gaming, and eCommerce"
86,Kepak,1966,"1,001 - 5,000",7.18,Simon Walker,Meath,Clonee,Agribusiness
87,KFC,1965,>200,7.17,Neil Piper,Surrey,Woking,Restaurants
88,Zurich,1950,"501 - 1,000",7.16,Neil Freshwater,Dublin,Dublin,Insurance
89,IKEA,2005,"501 - 1,000",7.15,Peter Jelkeby,Dublin,Dublin,Retail
90,Irish Life Financial Services,1939,"1,001 - 5,000",7.15,Declan Bolger,Dublin,Dublin,Banking and Financial Services
91,Electronic Arts,2010,201 - 500,7.14,Colin Blackwood,Galway,Galway,"Internet, Gaming, and eCommerce"
92,Beaumont hospital,1987,"1,001 - 5,000",7.12,Ian Carter,Dublin,Dublin,Health Care
93,PwC (PricewaterhouseCoopers),1998,"1,001 - 5,000",7.12,Feargal O'Rourke,Dublin,Dublin,Consulting and Accounting
94,Dealz,2011,"1,001 - 5,000",7.12,Barry Williams,Dublin,Dublin,Retail
95,Coca-Cola HBC,1952,201 - 500,7.08,Miles Karemacher,Dublin,Dublin,"Production of Non-agricultural Food, Soft Beverages, Alcohol and Tobacco"
96,Cappagh National Orthopaedic Hospital,1908,201 - 500,7.08,Angela Lee,Dublin,Dublin,Health Care
97,KSG - Kylemore Services Group,1920,"1,001 - 5,000",7.07,Michael Gleeson,Dublin,Dublin,"Production of Non-agricultural Food, Soft Beverages, Alcohol and Tobacco"
98,Marks & Spencer,1979,"1,001 - 5,000",7.06,Philip Conlon,Dublin,Dublin,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
99,Accenture,1989,"1,001 - 5,000",7.03,Alastair Blair,Dublin,Dublin,Consulting and Accounting
100,McDonald's,1987,"1,001 - 5,000",7.03,Alistair Macrow,Dublin,Dublin,Restaurants
101,Musgrave Group,1876,"10,001 - 50,000",7.02,Noel Keeley,Cork,Cork,Retail
102,Aer Lingus,1940,"1,001 - 5,000",7.00,Lynne Embleton,Dublin,Dublin,"Aviation, Leasing, and related Services"
103,Microchip Technology,2004,>200,6.99,Ganesh Moorthy,Dublin,Dublin,"IT, Software and Services"
104,Dunnes Stores,1971,>200,6.98,Margaret Heffernan,Dublin,Dublin,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
105,Bank of Ireland,1783,"5,001 - 10,000",6.98,Francesca McDonagh,Dublin,Dublin,Banking and Financial Services
106,Aviva,1908,"1,001 - 5,000",6.98,Declan O'Rourke,Dublin,Dublin,Insurance
107,Easons,1819,"501 - 1,000",6.97,Liam Hanly,Dublin,Dublin,Retail
108,Johnson & Perrott,1810,201 - 500,6.95,Mark Whitaker,Cork,Mahon,Automotive (Retailers/Suppliers/Producers)
109,Windsor Motor Group,1964,201 - 500,6.94,Peter Nicholson,Dublin,Dublin,Automotive (Retailers/Suppliers/Producers)
