rank,company,founded,employees,score,ceo,state,hq,industry
86,Mayora,1977,>1000,79.71,Jogi Hendra Atmadja,Indonesia,Jakarta,"Food, Soft Beverages, Alcohol & Tobacco (including Agriculture Production)"
87,Fujifilm,1934,>1000,79.58,Teiichi Goto,Japan,Tokyo,Conglomerate
88,Kokuyo,1905,>1000,79.56,Hidekuni Kuroda,Japan,Tokyo,"Engineering, Manufacturing"
89,International Game Technology (IGT),1990,>1000,79.55,Haviv Ilan,United Kingdom,London,"IT, Internet, Software & Services"
90,ERA Singapore,1982,>1000,79.36,Marcus Chu,Singapore,Singapore,Professional Services
91,KOSE,1946,>1000,79.21,Kazutoshi Kobayashi,Japan,Tokyo,Packaged Goods
92,VinFast,2017,>1000,79.01,Pham Nhat Vuong,Vietnam,Haiphong,Automotive (Automotive and Suppliers)
93,Workday,2005,>1000,79.01,Carl M. Eschenbach,Taiwan,Hsinchu,"IT, Internet, Software & Services"
94,Logitech,1981,>1000,78.75,Hanneke Faber,Switzerland,Lausanne,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
95,Wipro,1945,>1000,78.75,Srini Pallia,India,Bengaluru,"IT, Internet, Software & Services"
96,Salesforce,1999,>1000,78.75,Marc Benioff,United States,San Francisco,"IT, Internet, Software & Services"
97,Telenor,1855,>1000,78.69,Sigve Brekke,Norway,Fornebu,"Telecommunications Services, Cable Supplier"
98,Inditex,1985,>1000,78.63,Óscar García Maceiras,Spain,A Coruña,"Clothing, Shoes, Sports Equipment"
99,Sea,2009,>1000,78.57,Forrest Li,Singapore,Singapore,"IT, Internet, Software & Services"
100,TTEC,1982,>1000,78.35,David J. Seybold,United States,Englewood,"IT, Internet, Software & Services"
101,Rio Tinto,1873,>1000,78.32,Jakob Stausholm,United Kingdom,London,"Construction, Oil & Gas Operations, Mining and Chemicals"
102,Charoen Pokphand,1921,>1000,78.29,Suphachai Chearavanont,Thailand,Bangkok,Conglomerate
103,Sumitomo,1919,>1000,78.29,Yukinori Takada,Japan,Tokyo,Conglomerate
104,BIDV,1957,>1000,78.22,Phan Duc Tu,Vietnam,Hanoi,Banking and Financial Services
105,Maxell,1960,>1000,78.13,Keiji Nakamura,Japan,Tokyo,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
106,KPMG,1987,>1000,77.91,William B. Thomas,United States,London,Professional Services
107,Reliance Industries,1957,>1000,77.87,Mukesh D. Ambani,India,Mumbai,"Construction, Oil & Gas Operations, Mining and Chemicals"
108,Yamaha,1887,>1000,77.8,Atsushi Yamaura,Japan,Hamamatsu,"Engineering, Manufacturing"
109,ICICI Bank,1955,>1000,77.78,Sandeep Bakhshi,India,Mumbai,Banking and Financial Services
110,Texas Instruments,1930,>1000,77.77,Haviv Ilan,United States,Dallas,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
111,CitiGroup,1998,>1000,77.72,Jane Fraser,United States,New York,Banking and Financial Services
112,Medtronic,1949,>1000,77.58,Geoff Martha,Ireland,Galway,Health Care Equipment & Services
113,UNIQLO,1949,>1000,77.45,Tadashi Yanai,Japan,Tokyo,"Clothing, Shoes, Sports Equipment"
114,Starbucks,1971,>1000,77.39,Brian Niccol,United States,Seattle,Restaurants
115,Inizio,2020,>1000,77.29,Paul Taaffe,United States,New York,Business Services & Supplies
116,Cognizant,1994,>1000,77.25,Ravi Kumar S,United States,Teaneck,Professional Services
117,Merck Sharp & Dohme (MSD),1891,>1000,77.2,Robert M Davis,United States,Rahway,Drugs & Biotechnology
118,AECOM,1910,>1000,77.13,Troy Rudd,United States,Dallas,"Construction, Oil & Gas Operations, Mining and Chemicals"
119,Grab,2014,>1000,77.07,Anthony Tan,Singapore,Singapore,Travel & Leisure
120,Kawasaki Heavy Industries,1896,>1000,76.96,Yasuhiko Hashimoto,Japan,Tokyo,"Engineering, Manufacturing"
121,Australia and New Zealand Banking (ANZ),1835,>1000,76.95,Shayne Elliott,Australia,Melbourne,Banking and Financial Services
122,DBS Bank,1968,>1000,76.74,Piyush Gupta,Singapore,Singapore,Banking and Financial Services
123,IKEA,1943,>1000,76.68,Jesper Brodin,Netherlands,Delft,Retail and Wholesale
124,Abbott Laboratories,1888,>1000,76.66,Robert B. Ford,United States,Abbott Park,Drugs & Biotechnology
125,Shell,1907,>1000,76.57,Wael Sawan,Netherlands,Den Haag,"Construction, Oil & Gas Operations, Mining and Chemicals"
126,Glory,1944,>1000,76.57,Toshimitsu Yoshinari,Japan,Tokyo,"Engineering, Manufacturing"
127,NAVER,1999,>1000,76.49,Choi Soo-yeon,South Korea,Seongnam-si,"IT, Internet, Software & Services"
128,Louis Vuitton,1854,>1000,76.49,Bernard Arnault,France,Paris,"Clothing, Shoes, Sports Equipment"
