rank,company,founded,employees,score,ceo,state,hq,industry
1,adidas,2001,>250,82.27,Krzysztof Łuczakowski,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
2,CD Projekt,1994,"1,001 - 5,000",82.16,Adam Kiciński,Mazovia,Warszawa,"IT, Internet, Software, Computer Games and Computer Services"
3,Canon,1995,251 - 500,82.10,Wilbert Verheijen,Mazovia,Warszawa,"Electronics, Electrical Engineering, Computer Hardware"
4,Microsoft,1992,251 - 500,81.55,Dominika Bettman,Mazovia,Warszawa,"IT, Internet, Software, Computer Games and Computer Services"
5,Google,2005,"501 - 1,000",81.41,Magdalena Kotlarczyk,Mazovia,Warszawa,"IT, Internet, Software, Computer Games and Computer Services"
6,BMW,2003,>250,81.26,Christian Haririan,Mazovia,Warszawa,"Automotive & Transportation (including contractors, subcontractors, sales)"
7,Decathlon,2001,"1,001 - 5,000",81.24,Nils Swolkien,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
8,Samsung,1996,"1,001 - 5,000",80.96,Suh Kyung Wook,Mazovia,Warszawa,"Electronics, Electrical Engineering, Computer Hardware"
9,Deichmann,1997,"1,001 - 5,000",80.72,Mariusz Kulik,Lower Silesia,Wrocław,"Clothing, Accessories, Sports Equipment (Production and Trade)"
10,Electrolux,1992,"5,001 - 10,000",80.07,Krzysztof Kudlek,Mazovia,Warszawa,Production of Durable Consumer Goods
11,Multikino,1998,"501 - 1,000",80.06,Paweł Świst,Mazovia,Warszawa,"Gastronomy, Tourism, Sports and Recreational Services"
12,Cisco,1995,"1,001 - 5,000",79.78,Przemysław Kania,Mazovia,Warszawa,"IT, Internet, Software, Computer Games and Computer Services"
13,ING Bank Śląski,1988,"5,001 - 10,000",79.68,Brunon Bartkiewicz,Silesia,Katowice,Banks and Financial Services
14,Nike,1998,>250,79.40,Mckenzie Daniel William,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
15,Intel,1999,"1,001 - 5,000",79.27,Ryszard Dyrga,Pomerania,Gdańsk,"Electronics, Electrical Engineering, Computer Hardware"
16,Drutex,1985,"1,001 - 5,000",79.20,Leszek Gierszewski,Pomerania,Bytów,Construction
17,Cinema City,1999,>250,79.10,Moshe Greidinger,Mazovia,Warszawa,"Gastronomy, Tourism, Sports and Recreational Services"
18,Allegro,1999,"1,001 - 5,000",78.49,Roy Perticucci,Greater Poland,Poznań,Retail
19,Adamed Pharma,1986,"1,001 - 5,000",78.46,Paweł Roszczyk,Mazovia,Pieńków,Pharmaceuticals and Biotechnology
20,IBM,1935,"1,001 - 5,000",78.40,Marcin Gajdziński,Mazovia,Warszawa,"IT, Internet, Software, Computer Games and Computer Services"
21,Bosch,1992,"5,001 - 10,000",77.74,Rafał Rudziński,Mazovia,Warszawa,"Automotive & Transportation (including contractors, subcontractors, sales)"
22,Hilton Hotels & Resorts,2007,"1,001 - 5,000",77.66,Christopher J. Nassetta,Mazovia,Warszawa,"Gastronomy, Tourism, Sports and Recreational Services"
23,Siemens,1991,"1,001 - 5,000",77.53,Maciej Zieliński,Mazovia,Warszawa,Construction of machines and installations
24,Apart,1977,"1,001 - 5,000",77.23,Adam Rączyński,Greater Poland,Suchy Las,Production of Durable Consumer Goods
25,AstraZeneca,1991,"1,001 - 5,000",76.98,Wiktor Janicki,Mazovia,Warszawa,Pharmaceuticals and Biotechnology
26,Pepco,2004,"501 - 1,000",76.66,Trevor Masters,Greater Poland,Poznań,"Clothing, Accessories, Sports Equipment (Production and Trade)"
