rank,company,founded,employees,score,ceo,state,hq,industry
66,Mercedes-Benz Manufacturing,2002,"501 - 1,000",73.08,Wolfgang Karl Bremm,Lower Silesia,Jawor,Vehicle Construction and Sales
67,Black Red White,1991,>250,72.96,Dariusz Formela,Lublin,Biłgoraj,Durable Consumer Goods
68,Castorama,1994,"10,001 - 50,000",72.93,Sébastien Krysiak,Mazovia,Warszawa,Retail
69,Blachotrapez,1995,"501 - 1,000",72.88,Rafał Michalski,Lesser Poland,Rabka-Zdrój,Wholesale
70,DHL,1991,"1,001 - 5,000",72.88,Agnieszka Świerszcz,Mazovia,Warszawa,Transportation and Logistics
71,Orbis,1920,"1,001 - 5,000",72.84,Dominik Sołtysik,Mazovia,Warszawa,"Restaurants, Tourism, Sports and Recreational Services"
72,Polpharma,1935,"1,001 - 5,000",72.83,Sebastian Szymanek,Pomerania,Starogard Gdański,Pharmaceuticals and Biotechnology
73,Enea,2003,"10,001 - 50,000",72.82,Paweł Szczeszek,Greater Poland,Poznań,Energy and Communal Services
74,Odlewnie Polskie,1899,>250,72.78,Zbigniew Ronduda,Holy Cross,Starachowice,Production and Processing of Raw and Building Materials
75,Skanska,1887,>250,72.70,Piotr Janiszewski,Mazovia,Warszawa,Construction
76,Sii,2006,"5,001 - 10,000",72.69,Grégoire Nitot,Mazovia,Warszawa,"IT, Internet, Software"
77,Allianz,1997,>250,72.67,Matthias Baltin,Mazovia,Warszawa,Insurance
78,mBank,1986,"5,001 - 10,000",72.66,Cezary Stypułkowski,Mazovia,Warszawa,Banks and Financial Services
79,Aviva,1992,"1,001 - 5,000",72.65,Jolanta Karny,Mazovia,Warszawa,Insurance
80,H&M,2003,"5,001 - 10,000",72.62,Helena Helmersson,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
81,PGE Polska Grupa Energetyczna,1990,"10,001 - 50,000",72.54,Wojciech Dąbrowski,Mazovia,Warszawa,Energy and Communal Services
82,Media Markt,1998,"1,001 - 5,000",72.51,Alpay Güner,Mazovia,Warszawa,Retail
83,British American Tobacco,1991,"1,001 - 5,000",72.41,Jack Bowles,Mazovia,Warszawa,FMCG
84,Instal Kraków,1950,"501 - 1,000",72.34,Piotr Juszczyk,Lesser Poland,Kraków,Construction
85,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,2009,"1,001 - 5,000",72.27,Jacek Wróbel,West Pomerania,Szczecin,Education and Research
86,UPC,1989,"1,001 - 5,000",72.22,Robert Redeleanu,Mazovia,Warszawa,Telecommunication
87,Grupa Żywiec,1998,"1,001 - 5,000",72.13,Simon Amor,Mazovia,Warszawa,FMCG
88,DCT Gdańsk,2007,"501 - 1,000",71.93,Charles Baker,Pomerania,Gdańsk,Transportation and Logistics
89,Motorola Solutions,2011,>250,71.85,Jacek Drabik,Lesser Poland,Kraków,Telecommunication
90,Uniwersytet Śląski w Katowicach,1968,>250,71.70,Ryszard Koziołek,Silesia,Katowice,Education and Research
91,GK KGHM Polska Miedź,1961,"10,001 - 50,000",71.65,Marcin Chludziński,Lower Silesia,Lubin,Oil and Gas
92,Meble Wójcik,1986,"1,001 - 5,000",71.65,Piotr Wójcik,Warmia-Masuria,Elbląg,Durable Consumer Goods
93,Philips,1928,"1,001 - 5,000",71.59,Michał Grzybowski,Mazovia,Warszawa,"Electronics, Electrical Engineering, Computer Hardware"
94,BESTA,1991,>250,71.49,Edward Gala,Subcarpathia,Rzeszów,Construction
95,Uniwersytet Ekonomiczny w Katowicach,1937,>250,71.39,Celina M. Olszak,Silesia,Katowice,Education and Research
96,KONE,1993,>250,71.37,Marek Oppeln-Bronikowski,Mazovia,Warszawa,Construction
97,Ernst & Young,1932,"1,001 - 5,000",71.37,Jacek Kędzior,Mazovia,Warszawa,Consulting
98,Volkswagen,2012,>250,71.36,Pavel Šolc,Greater Poland,Poznań,Vehicle Construction and Sales
99,x-kom,2002,"1,001 - 5,000",71.27,Michał Świerczewski,Silesia,Częstochowa,Retail
100,FedEx,1990,>250,71.24,Karen Reddington,Mazovia,Warszawa,Transportation and Logistics
101,Uniwersytet Warszawski,1816,"5,001 - 10,000",71.19,Alojzy Z. Nowak,Mazovia,Warszawa,Education and Research
102,Dr Gerard,1993,"501 - 1,000",71.19,Jarosław Zawadzki,Lublin,Międzyrzec Podlaski,FMCG
103,Uniwersytet Gdański,1970,>250,71.18,Piotr Stepnowski,Pomerania,Gdańsk,Education and Research
104,DPD,1991,"5,001 - 10,000",71.13,Boris Winkelmann,Mazovia,Warszawa,Transportation and Logistics
105,Nike,1998,>250,71.05,Mckenzie Daniel William,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
106,L'Oréal,1992,>250,71.04,Niels Westerbye Juhl,Mazovia,Warszawa,FMCG
107,Model Opakowania,1998,"501 - 1,000",71.03,Krzysztof Jażdżyk,Multiple Locations,Multiple Locations,Production and Processing of Raw and Building Materials
108,Marriott International,1927,"1,001 - 5,000",70.92,Anthony Capuano,Multiple Locations,Multiple Locations,"Restaurants, Tourism, Sports and Recreational Services"
109,GLS,1999,"1,001 - 5,000",70.92,Martin Seidenberg,Greater Poland,Głuchowo,Transportation and Logistics
110,Kabat Tyre,1983,"501 - 1,000",70.88,Andrzej Kabat,Greater Poland,Budzyń,Production and Processing of Raw and Building Materials
111,Uniwersytet Łódzki,1945,"1,001 - 5,000",70.79,Elżbieta Żądzińska,Łódź,Łódź,Education and Research
112,Compensa,1990,"501 - 1,000",70.79,Artur Borowinski,Mazovia,Warszawa,Insurance
113,InPost,2006,"5,001 - 10,000",70.79,Rafał Brzoska,Lesser Poland,Kraków,Transportation and Logistics
114,Rainbow Tours,1990,"501 - 1,000",70.74,Grzegorz Baszczyński,Łódź,Łódź,"Restaurants, Tourism, Sports and Recreational Services"
115,Uniwersytet Wrocławski,1702,"1,001 - 5,000",70.70,Przemysław Wiszewski,Lower Silesia,Wrocław,Education and Research
116,RTV EURO AGD,1990,"5,001 - 10,000",70.64,Robert Kuczyński,Mazovia,Warszawa,Retail
117,CTL Logistics,1992,>250,70.61,Grzegorz Bogacki,Silesia,Sosnowiec,Transportation and Logistics
118,Grycan,2004,"1,001 - 5,000",70.48,Krystian Grycan,Mazovia,Majdan,FMCG
119,Atos,1996,"5,001 - 10,000",70.44,Piotr Wierzbicki,Mazovia,Warszawa,"IT, Internet, Software"
120,Werner Kenkel,2013,"1,001 - 5,000",70.43,Adam Kenkel,Greater Poland,Krzycko Wielkie,Production and Processing of Raw and Building Materials
121,Rossmann,1993,"10,001 - 50,000",70.40,Marek Maruszak,Łódź,Łódź,Retail
122,State Street Bank International,2007,"1,001 - 5,000",70.38,Scott Newman,Lesser Poland,Kraków,Banks and Financial Services
123,Akamai Technologies,2011,"501 - 1,000",70.35,Dr. Tom Leighton,Lesser Poland,Kraków,"IT, Internet, Software"
124,Cognizant,1994,>250,70.32,Brian Humphries,Pomerania,Gdańsk,"IT, Internet, Software"
