rank,company,founded,employees,score,ceo,state,hq,industry
180,Housing & Development Board (HDB),1981,>200,7.06,Tan Meng Dui,Singapore,Singapore,Government Services
181,A-Sonic Aerospace,2003,>200,7.06,Janet Tan,Singapore,Singapore,Transportation and Logistics
182,Fujifilm,1934,"1,001 - 5,000",7.06,Teiichi Goto,Singapore,Singapore,"Engineering, Manufacturing"
183,Daimler South East Asia,1990,>200,7.06,Sten Ola Källenius,Singapore,Singapore,Automotive (Automotive and Suppliers)
184,PSA International Pte Ltd,1964,>200,7.06,Tan Chong Meng,Singapore,Singapore,Transportation and Logistics
185,United Test and Assembly Center (UTAC),1997,>200,7.05,William John Nelson,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
186,Aetos Security Management,2004,>200,7.05,James Tan,Singapore,Singapore,Business Support Services & Supplies
187,IHH Healthcare Berhad,1974,>200,7.05,Kelvin Loh,Singapore,Singapore,Healthcare & Social
188,Maersk,1904,>200,7.04,Søren Skou,Singapore,Singapore,Transportation and Logistics
189,Hiap Tong,1978,>200,7.04,Ong Teck Meng,Singapore,Singapore,Business Support Services & Supplies
190,Agilent Technologies Singapore,1999,>200,7.04,Mike McMullen,Singapore,Singapore,Drugs & Biotechnology
191,SATS,1947,>200,7.03,Alex Hungate,Singapore,Singapore,Business Support Services & Supplies
192,SBS Transit,1973,>200,7.03,Cheng Siak Kian,Singapore,Singapore,Transportation and Logistics
193,Jardine Engineering,1934,>200,7.02,Noky Wong,Singapore,Singapore,Business Support Services & Supplies
194,Agility Logistics,1979,>200,7.02,Chris Price,Singapore,Singapore,Transportation and Logistics
195,Ministry of Manpower (MOM),1998,>200,7.02,Augustin Lee,Singapore,Singapore,Government Services
196,BNP Paribas,1872,"1,001 - 5,000",7.01,Joris Dierckx,Singapore,Singapore,Banking and Financial Services
197,Applied Materials,1971,>200,7.01,Gary Dickerson,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
198,A-Smart,1986,>200,7.01,Lim Huan Chiang,Singapore,Singapore,"IT, Internet, Software & Services"
199,Koufu Group,2002,>200,7.00,Lim Pang,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
200,Caterpillar,1925,>200,7.00,D. James Umpleby III,Singapore,Singapore,"Engineering, Manufacturing"
