rank,company,founded,employees,score,ceo,state,hq,industry
1,Toronto Metropolitan University,1948,"1,001 - 5,000",92.61,Mohamed Lachemi,Ontario,Toronto,Education
2,Lululemon Athletica,1998,"10,001 - 50,000",90.69,Calvin McDonald,British Columbia,Vancouver,Clothing  (Manufacturing and Retail)
3,McMaster University,1887,"10,001 - 50,000",90.38,David Farrar,Ontario,Hamilton,Education
4,Memorial University of Newfoundland,1925,"1,001 - 5,000",90.33,Neil Bose,Newfoundland and Labrador,St. John's,Education
5,Keg Steakhouse & Bar,1971,"5,001 - 10,000",90.02,David Aisenstat,British Columbia,Richmond,Restaurants
6,Microsoft,1985,"100,001 - 500,000",89.91,Satya Nadella,Washington,Redmond,"IT, Internet, Software & Services"
7,Lush Fresh Handmade Cosmetics,1995,"1,001 - 5,000",89.87,Mark Wolverton,British Columbia,Vancouver,Packaged Goods
8,Cisco Systems,1990,"50,001 - 100,000",89.22,Chuck Robbins,California,San Jose,"IT, Internet, Software & Services"
9,FedEx Canada,1987,"10,001 - 50,000",89.19,Lisa Lisson,Ontario,Mississauga,Transportation and Logistics
10,Ikea,1943,"100,001 - 500,000",89.07,Jon Abrahamsson Ring,South Holland,Delft,Retail and Wholesale
11,Onni Group of Companies,1965,"501 - 1,000",88.86,Rossano DeCotiis Morris DeCotiis,British Columbia,Vancouver,"Professional Services (e.g. Consulting, Accounting)"
12,Sheridan College,1967,"1,001 - 5,000",88.73,Janet Morrison,Ontario,Oakville,Education
13,BC Hydro,1860,"1,001 - 5,000",88.45,Chris O’Riley,British Columbia,Vancouver,Utilities
14,University of Manitoba,1877,"5,001 - 10,000",88.38,Michael Benarroch,Manitoba,Winnipeg,Education
15,Hydro-Québec,1944,"10,001 - 50,000",87.88,Pierre Despars,Quebec,Montreal,Utilities
16,ADP,1949,"50,001 - 100,000",87.75,Maria Black,New Jersey,Roseland,Business Services & Supplies
17,Canadian Mental Health Association,1918,"1,001 - 5,000",87.48,Greg Radu,Ontario,Toronto,Healthcare & Social
18,Nike,1964,"50,001 - 100,000",87.38,John Donahoe,Oregon,Beaverton,Clothing  (Manufacturing and Retail)
19,HP Inc.,1939,"50,001 - 100,000",87.32,Enrique Lores,California,Palo Alto,"IT, Internet, Software & Services"
20,University of Waterloo,1957,"1,001 - 5,000",87.10,Vivek Goel,Ontario,Waterloo,Education
21,Apple,1976,"100,001 - 500,000",87.09,Tim Cook,California,Cupertino,Retail and Wholesale
22,University of British Columbia,1908,"10,001 - 50,000",87.07,Deborah Buszard,British Columbia,Vancouver,Education
23,Subway,1965,"100,001 - 500,000",87.04,Trevor Haynes,Connecticut,Milford,Restaurants
24,Sephora,1970,"10,001 - 50,000",86.87,Guillaume Motte,Île-de-France,Paris,Retail and Wholesale
25,Coca Cola Canada Bottling Limited,1896,"5,001 - 10,000",86.80,Todd Parsons,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
26,Sinai Health System,1852,"1,001 - 5,000",86.73,Dr. Gary Newton,Ontario,Toronto,Healthcare & Social
27,Google,1998,"100,001 - 500,000",86.42,Sundar Pichai,California,Mountain View,"IT, Internet, Software & Services"
28,Purolator,1960,"10,001 - 50,000",86.39,John Ferguson,Ontario,Mississauga,Transportation and Logistics
29,Transat,1987,"1,001 - 5,000",86.17,Annick Guérard,Quebec,Montreal,Transportation and Logistics
30,TJX Companies,1956,"100,001 - 500,000",86.09,Ernie Herrman,Massachusetts,Framingham,Retail and Wholesale
31,Marriott Hotels,1927,"100,001 - 500,000",86.00,Anthony Capuano,Massachusetts,Bethesda,Travel & Leisure
