rank,company,founded,employees,score,ceo,state,hq,industry
61,Holt Renfrew,1837,"1,001 - 5,000",83.03,Sebastian Picardo,Ontario,Toronto,Retail and Wholesale
62,Microsoft,1985,"1,001 - 5,000",83.02,Satya Nadella,Ontario,Mississauga,"IT, Internet, Software & Services"
63,Hamilton Health Sciences,1996,"10,001 - 50,000",82.93,Rob MacIsaac,Ontario,Hamilton,Healthcare & Social
64,Western Health,2003,"1,001 - 5,000",82.79,Michelle House,Newfoundland and Labrador,Corner Brook,Healthcare & Social
65,Coca Cola Canada Bottling Limited,1896,"5,001 - 10,000",82.76,Todd Parsons,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
66,Pet Valu,1976,"1,001 - 5,000",82.57,Richard Maltsbarger,Ontario,Markham,Retail and Wholesale
67,PetSmart,1986,"10,001 - 50,000",82.22,J.K. Symancyk,Ontario,Burlington,Retail and Wholesale
68,Subway,1965,"501 - 1,000",82.20,Guy Laframboise,Connecticut,Milford,Restaurants
69,Chatham-Kent Health Alliance,2018,"1,001 - 5,000",82.17,Lori Marshall,Ontario,Chatham,Healthcare & Social
70,Société de l'assurance automobile du Québec,1978,"1,001 - 5,000",81.75,Nathalie  Tremblay,Quebec,Québec,Banking and Financial Services
71,University of Alberta,1908,"10,001 - 50,000",81.75,Peggy Grritty,Alberta,Edmonton,Education
72,Whole Foods Market,1980,"50,001 - 100,000",81.65,John Mackey,Texas,Austin,Retail and Wholesale
73,The Mosaic Company,2004,"501 - 1,000",81.64,James C. O'Rourke,Florida,Tampa,"Construction, Oil & Gas Operations, Mining and Chemicals"
74,Health Sciences Centre Winnipeg,1973,"5,001 - 10,000",81.62,Adam Topp,Manitoba,Winnipeg,Healthcare & Social
75,University of British Columbia,1908,"10,001 - 50,000",81.62,Santa J. Ono,British Columbia,Vancouver,Education
76,TJX Companies,1956,"100,001 - 500,000",81.59,Ernie Herrman,Ontario,Mississauga,Retail and Wholesale
77,University of Waterloo,1957,"1,001 - 5,000",81.47,Feridun Hamdullahpur,Ontario,Waterloo,Education
78,Groupe Dynamite,1975,"1,001 - 5,000",81.41,Elizabeth Edmiston,Quebec,Ville Mont-Royal,Retail and Wholesale
79,Surrey School District,1906,"10,001 - 50,000",81.36,Mark Pearmain,British Columbia,Surrey,Education
80,Canadian Mental Health Association,1918,"1,001 - 5,000",81.20,Margaret Eaton,Ontario,Toronto,Healthcare & Social
81,Economical Insurance,1871,"1,001 - 5,000",81.16,Rowan Saunders,Ontario,Waterloo,Insurances
82,Canadian Tire,1922,"10,001 - 50,000",81.11,Greg Hicks,Ontario,Toronto,Retail and Wholesale
83,Accor Hotels,1960,"100,001 - 500,000",80.96,Sebastien Bazin,Ontario,Mississauga,Travel & Leisure
84,Shoppers Drug Mart,1962,"1,001 - 5,000",80.91,Jeff Leger,Ontario,Toronto,Retail and Wholesale
85,Google,1998,"1,001 - 5,000",80.89,Sundar Pichai,Ontario,Toronto,"IT, Internet, Software & Services"
86,Tata Consultancy Services,1968,"5,001 - 10,000",80.79,Soumen Roy,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
87,Domtar,1848,"1,001 - 5,000",80.78,John D. Williams,South Carolina,Fort Mill,"Engineering, Manufacturing"
88,The Co-operators,1945,"5,001 - 10,000",80.77,Rob Wesseling,Ontario,Guelph,Insurances
89,American Eagle Outfitters,1977,"10,001 - 50,000",80.75,Jay Schottenstein,Pennsylvania,Pittsburgh,Retail and Wholesale
90,SickKids,1875,"10,001 - 50,000",80.72,Dr. Ronald Cohn,Ontario,Toronto,Healthcare & Social
91,Bath & Body Works,1963,"50,001 - 100,000",80.62,Sarah Nash,Ohio,Reynoldsburg,Clothing  (Manufacturing and Retail)
92,PCL Construction,1906,"1,001 - 5,000",80.59,Dave Filipchuk,Alberta,Edmonton,"Construction, Oil & Gas Operations, Mining and Chemicals"
93,Allstate Insurance,1931,"1,001 - 5,000",80.58,London Bradley,Ontario,Markham,Insurances
94,ADP,1949,"1,001 - 5,000",80.57,Holger Kormann,New Jersey,Roseland,"IT, Internet, Software & Services"
95,CIBC,1961,"10,001 - 50,000",80.57,Victor G. Dodig,Ontario,Toronto,Banking and Financial Services
96,Hudson's Bay,1670,"10,001 - 50,000",80.35,Richard A. Baker,Ontario,Brampton,Retail and Wholesale
97,Revera,1961,"10,001 - 50,000",80.28,Thomas G. Wellner,Ontario,Mississauga,Healthcare & Social
98,Dollarama,1992,"10,001 - 50,000",80.14,Neil Rossy,Quebec,Montreal,Retail and Wholesale
99,Oracle,1984,"100,001 - 500,000",80.11,Safra Catz,Ontario,Mississauga,"IT, Internet, Software & Services"
100,Reitmans,1926,"5,001 - 10,000",79.95,Stephen F. Reitman,Quebec,Montreal,Retail and Wholesale
101,Desjardins,1900,"10,001 - 50,000",79.95,Guy Cormier,Quebec,Lévis,Banking and Financial Services
102,Enterprise Rent-A-Car,1957,"5,001 - 10,000",79.92,Andrew C. Taylor,Ontario,Scarborough,Travel & Leisure
103,Winnipeg School Division,1877,"1,001 - 5,000",79.60,Karin Siler,Manitoba,Winnipeg,Education
104,Sephora,1970,"1,001 - 5,000",79.58,Gregory Bruyer,Ontario,Toronto,Retail and Wholesale
105,J.D. Irving,1882,"10,001 - 50,000",79.54,James D. Irving,New Brunswick,Saint John,"Engineering, Manufacturing"
106,IBM,1911,"1,001 - 5,000",79.53,Arvind Krishna,Ontario,Markham,"IT, Internet, Software & Services"
107,Boeing,1929,"1,001 - 5,000",79.50,Dave Calhoun,Manitoba,Winnipeg,Aerospace & Defense
108,Royal LePage,1913,"10,001 - 50,000",79.48,Philip Soper,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
109,General Motors,1908,"5,001 - 10,000",79.20,Mary T. Barra,Ontario,Oshawa,Automotive (Automotive and Suppliers)
110,Metrolinx,2006,"1,001 - 5,000",78.79,Phil Verster,Ontario,Toronto,Transportation and Logistics
111,Lululemon Athletica,1998,"5,001 - 10,000",78.75,Calvin McDonald,British Columbia,Vancouver,Clothing  (Manufacturing and Retail)
112,Yum! Brands,1997,">1,000,000",78.47,David Gibbs,Kentucky,Louisville,Restaurants
