rank,company,founded,employees,score,ceo,state,hq,industry
1,Honda,1990,>250,9.37,Masahiko Nakamura,Calabarzon,Laguna,Automotive (Automotive and Suppliers)
2,Verizon Communications,1999,>250,9.34,Hans Vestberg,Metropolitan Manila,Muntinlupa,"Telecommunications Services, Cable Supplier"
3,Makati Medical Center,1969,>250,9.30,Pilar Nenuca P. Almira,Metropolitan Manila,Makati,Healthcare & Social
4,De La Salle - College of Saint Benilde,1988,>250,9.29,Br. Edmundo Fernandez FSC,Metropolitan Manila,Manila,Education
5,Google,2012,>250,9.28,Bernadette Nacario,Metropolitan Manila,Taguig,"IT, Internet, Software & Services"
6,Unilever,1999,>250,9.25,Rohit Jawa,Metropolitan Manila,Pasig,Packaged Goods
7,Microsoft,1995,>250,9.24,Peter Maquera,Metropolitan Manila,Makati,"IT, Internet, Software & Services"
8,EM Devices Corporation,2002,>250,9.18,Chihiro Yamamoto,Calabarzon,Calamba,"Engineering, Manufacturing"
9,Canva,2014,>250,9.17,Yani Hornilla Donato,Metropolitan Manila,Makati,"IT, Internet, Software & Services"
10,Pascual Laboratories,1946,>250,9.16,Jose Augusto Pascual,Metropolitan Manila,Manila,Drugs & Biotechnology
11,Intel Technology,1974,>250,9.15,Patrick Gelsinger,Calabarzon,Dasmarinas,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
12,Department of Environment & Natural Resources (DENR),1987,>250,9.15,Maria Antonia Yulo Lozyaga,Metropolitan Manila,Quezon,Government Services
13,Seven Eleven Foodstore,1982,>250,9.15,Jose Victor P. Paterno,Metropolitan Manila,Mandaluyong,Retail and Wholesale
14,National Food Authority,1972,>250,9.14,Judy Carol L. Dansal,Metropolitan Manila,Quezon,Government Services
15,Sterling Talent Solutions,2002,>250,9.13,Elizabeth Fitzell,Metropolitan Manila,Taguig,Business Services & Supplies
16,Manila Doctors Hospital,1956,>250,9.13,Anjanette T. Dy-Buncio,Metropolitan Manila,Manila,Healthcare & Social
17,Johnson & Johnson,1956,>250,9.12,Raghu Krishnan,Metropolitan Manila,Paranaque,Drugs & Biotechnology
18,Maersk,1931,>250,9.11,John Alexander Rhoss Largo,Metropolitan Manila,Manila,Transportation and Logistics
19,Lear Corporation,1917,>250,9.11,Ray Scott,Central Visayas,Lapu-Lapu,"Engineering, Manufacturing"
20,Realpage,2011,>250,9.10,Dana Jones,Metropolitan Manila,Pasig,"IT, Internet, Software & Services"
21,Pilipinas Shell Petroleum Corporation,1914,>250,9.09,Lorelie Quiambao Osial,Metropolitan Manila,Taguig,"Construction, Oil & Gas Operations, Mining and Chemicals"
22,American Express International,1850,>250,9.06,Michele Batchelor,Metropolitan Manila,Taguig,Banking and Financial Services
23,Toshiba Information Equipment,1996,>250,9.04,Jun Ito,Calabarzon,Binan,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
24,LTHFood Industries,2003,>250,9.03,-,Metropolitan Manila,Quezon,"Food, Soft Beverages, Alcohol & Tobacco"
25,Telus International,2005,>250,9.02,Jeff Puritt,Metropolitan Manila,Manila,Business Services & Supplies
26,Ingram Micro,1979,>250,9.01,Diego Utge,Metropolitan Manila,Taguig,Business Services & Supplies
27,Isuzu Automotive Dealership,1996,>250,9.01,Hajime Koso,Metropolitan Manila,Muntinlupa,Automotive (Automotive and Suppliers)
28,Asurion,2001,>250,9.01,Tony Detter,Metropolitan Manila,Taguig,Professional Services
29,Nezda Technologies,2014,>250,9.01,Hariom Khandelwal,Metropolitan Manila,Makati,Business Services & Supplies
30,Unilab,1945,>250,9.01,Clinton Campos Hess,Metropolitan Manila,Mandaluyong,Drugs & Biotechnology
31,Shearwater Health Advisors,1973,>250,9.01,Tom Kendrot,Metropolitan Manila,Taguig,Healthcare & Social
32,Ateneo De Davao University,1948,>250,9.00,Rev. Fr. Joel E. Tabora S.J.,Davao Region,Davao,Education
33,Ikea,2021,>250,9.00,Christian Roejkjaer,Metropolitan Manila,Pasay,Retail and Wholesale
34,Aecom GBS,1996,>250,8.99,Dr. Alma Bella P. Madrazo,Metropolitan Manila,Taguig,Professional Services
35,San Miguel Corporation (SMC),1890,>250,8.99,Ramon S. Ang,Metropolitan Manila,Mandaluyong,"Food, Soft Beverages, Alcohol & Tobacco"
36,Quantrics Enterprises Inc,2016,>250,8.98,Mark Wirtz,Calabarzon,"Taytay, Rizal","IT, Internet, Software & Services"
37,University of Santo Tomas,1611,>250,8.97,Richard Ang,Metropolitan Manila,Manila,Education
38,Pfizer,1959,>250,8.95,Edgardo Mendoza,Metropolitan Manila,Makati,Drugs & Biotechnology
39,Samsung Philippines,1997,>250,8.95,Minsu Chu,Metropolitan Manila,Taguig,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
40,Adp,2010,>250,8.94,Amar Sidhu,Metropolitan Manila,Makati,Business Services & Supplies
41,Philippine Oppo Mobile Technology,2004,>250,8.94,Tony Chen,Metropolitan Manila,Pasig,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
42,Center For Agriculture & Rural Development (CARD),1986,>250,8.93,Jaime Aristotle B. Alip,Calabarzon,San Pablo,Economy & Politics & NGO
43,Sanitary Care Products Asia (SCPA),1996,>250,8.91,Ven M. Sio,Metropolitan Manila,Taguig,"Engineering, Manufacturing"
44,Samsung Electro-Mechanics (SEMPHIL),1997,>250,8.91,Minsu Chu,Calabarzon,Calamba,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
45,Liwayway Marketing,1946,>250,8.90,Carlos Chan,Metropolitan Manila,Pasay,"Food, Soft Beverages, Alcohol & Tobacco"
46,TPG Telecom,1986,>250,8.89,Iñaki Berroeta,Metropolitan Manila,Pasig,"Telecommunications Services, Cable Supplier"
47,Our Lady of Fatima University,1967,>250,8.89,Caroline S. Enriquez,Metropolitan Manila,Valenzuela,Education
48,Ayala Land,1988,>250,8.89,Bernard Vincent O. Dy,Metropolitan Manila,Makati,Professional Services
49,PayPal,1998,>250,8.88,John Nicholls,California,California,Banking and Financial Services
