rank,company,founded,employees,score,ceo,state,hq,industry
117,"Halton, Regional Municipality of",1974,"1,001 - 5,000",8.49,Gary Carr,Ontario,Halton,Government Services
118,Gordon Food Service,1897,>500,8.49,Rich Wolowski,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
119,York Region District School Board,0,"10,001 - 50,000",8.49,Louise Sirisko,Ontario,Aurora,Education
120,Amazon,1994,"10,001 - 50,000",8.48,Jeffrey Bezos,Ontario,Toronto,Retail and Wholesale
121,Michaels Stores,1973,"10,001 - 50,000",8.48,Ashley Buchanan,Texas,Irving,Retail and Wholesale
122,Ottawa-Carleton District School Board,1998,"5,001 - 10,000",8.48,Camille Williams-Taylor,Ontario,Nepean,Education
123,Royal Dutch Shell,1911,"1,001 - 5,000",8.47,Ben van Beurden,Alberta,Calgary,"Construction, Oil & Gas Operations, Mining and Chemicals"
124,Ikea,1943,"5,001 - 10,000",8.47,Jesper Brodin,Ontario,Burlington,Retail and Wholesale
125,Carter's,1865,"10,001 - 50,000",8.46,Michael D. Casey,Ontario,Mississauga,Clothing  (Manufacturing and Retail)
126,Sinai Health System,1852,"1,001 - 5,000",8.46,Karen Teitelbaum,Ontario,Toronto,Healthcare & Social
127,Canada Life,1847,"10,001 - 50,000",8.46,Paul Mahon,Manitoba,Winnipeg,Insurances
128,Nova Scotia Community College,1996,>500,8.46,Don Bureau,Nova Scotia,Halifax,Education
129,Hamilton Health Sciences,1996,"10,001 - 50,000",8.45,Rob MacIsaac,Ontario,Hamilton,Healthcare & Social
130,Suncor Energy,1967,"10,001 - 50,000",8.45,Mark Little,Alberta,Calgary,"Construction, Oil & Gas Operations, Mining and Chemicals"
131,Shopify,2004,"5,001 - 10,000",8.45,Tobi Lütke,Ontario,Ottawa,"IT, Internet, Software & Services"
132,Centre hospitalier de l'Université de Montréal (CHUM),1969,"10,001 - 50,000",8.45,Fabrice Brunet,Quebec,Montreal,Healthcare & Social
133,Kruger Products,1904,"1,001 - 5,000",8.45,Dino Bianco,Ontario,Mississauga,Packaged Goods
134,Employment and Social Development Canada,2003,"10,001 - 50,000",8.44,Carla Qualtrough,Ontario,Ottawa,Government Services
135,TC Energy,1951,"1,001 - 5,000",8.44,Russell K. Girling,Alberta,Calgary,"Construction, Oil & Gas Operations, Mining and Chemicals"
136,Deere & Company,1837,"50,001 - 100,000",8.43,John C. May,Ontario,Grimsby,"Engineering, Manufacturing"
137,Public Service Commission of Canada,1908,"501 - 1,000",8.43,Patrick Borbey,Ontario,Ottawa,Government Services
138,Treasury Board of Canada,1867,"1,001 - 5,000",8.43,Peter Wallace,Ontario,Ottawa,Government Services
139,Honda Canada,1969,"10,001 - 50,000",8.43,Takahiro Hachigo,Ontario,Markham,Automotive (Automotive and Suppliers)
140,Global Affairs Canada,1909,"5,001 - 10,000",8.43,Philippe Champagne,Ontario,Ottawa,Government Services
141,Medtronic,1949,"1,001 - 5,000",8.42,Geoffrey S. Martha,Ontario,Brampton,Health Care Equipment & Services
142,Government of British Columbia,1871,"10,001 - 50,000",8.42,John Horgan,British Columbia,Victoria,Government Services
143,Princess Auto,1942,"1,001 - 5,000",8.42,Ken Larson,Manitoba,Winnipeg,Retail and Wholesale
144,Michelin North America (Canada),1950,"1,001 - 5,000",8.42,Florent Menegaux,South Carolina,Greenville,Automotive (Automotive and Suppliers)
145,Miller Group,1917,"1,001 - 5,000",8.41,Francois Vachon,Ontario,Markham,"Construction, Oil & Gas Operations, Mining and Chemicals"
146,Aecon Group,1877,"10,001 - 50,000",8.41,Jean-Louis Servranckx,Ontario,Toronto,"Construction, Oil & Gas Operations, Mining and Chemicals"
147,BMW Group,1916,"100,001 - 500,000",8.41,Oliver Zipse,Ontario,Richmond Hill,Automotive (Automotive and Suppliers)
148,City of Calgary,1875,"10,001 - 50,000",8.41,David Duckworth,Alberta,Calgary,Government Services
149,Government of New Brunswick,1867,"10,001 - 50,000",8.40,Blaine Higgs,New Brunswick,Fredericton,Government Services
150,Government of Ontario,1867,"50,001 - 100,000",8.40,Doug Ford,Ontario,Toronto,Government Services
151,Pharmascience,1983,"1,001 - 5,000",8.40,David Goodman,Quebec,Montreal,Drugs & Biotechnology
