rank,company,founded,employees,score,ceo,state,hq,industry
70,Ap Cargo Logistic Network,1972,"501 - 1,000",8.58,Virgilio R. Villacorte,Metropolitan Manila,"Metropolitan Manila, Pasay City",Transportation and Logistics
71,Oppo Philippines,2004,>250,8.58,Tony Chen,Metropolitan Manila,"Metropolitan Manila, Taguig City","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
72,Shearwater Health Advisors,1973,>250,8.57,Tom Kendrot,Metropolitan Manila,"Metropolitan Manila, Taguig City",Healthcare & Social
73,Robinsons Retail Holdings,1980,">10,000",8.57,Robina Y. Gokongwei-Pe,Metropolitan Manila,"Metropolitan Manila, Quezon City",Retail and Wholesale
74,Travellers International Hotel Group,2003,"1,001 - 5,000",8.57,Kingson U. sian,Metropolitan Manila,"Metropolitan Manila, Pasay City",Travel & Leisure
75,Schneider Electric,1938,"1,001 - 5,000",8.56,Ireen Catane,Metropolitan Manila,"Metropolitan Manila, Taguig City","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
76,Unilever,1927,"1,001 - 5,000",8.56,Benjie Yap,Metropolitan Manila,"Metropolitan Manila, Taguig City",Packaged Goods
77,Reed Elsevier Shared Services,2010,"1,001 - 5,000",8.56,Mark Lwin,Western Visayas,"Iloilo, Iloilo City",Business Services & Supplies
78,Philippine Manufacturing Co. Of Murata,1944,"1,001 - 5,000",8.55,Norio Nakajima,Calabarzon,"Batangas, Tanauan City","Engineering, Manufacturing"
79,Uniqlo,2012,>250,8.55,Tadashi Yanai,Metropolitan Manila,"Metropolitan Manila, Pasay City","Clothing, Shoes, Sports Equipment"
80,United Laboratories,1945,>250,8.55,Clinton Campos Hess,Metropolitan Manila,"Metropolitan Manila, Mandaluyong City",Drugs & Biotechnology
81,TaskUs,2009,>250,8.54,Bryce Maddock,Metropolitan Manila,"Metropolitan Manila, Quezon City",Business Services & Supplies
82,Toshiba Information Equipment,1996,">10,000",8.54,Jun Ito,Calabarzon,"Laguna, Biñan","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
83,Royal Cargo,1978,>250,8.54,Michael Raeuber,Metropolitan Manila,"Metropolitan Manila, Paranaque City",Transportation and Logistics
84,Philippine Business For Social Progress,1970,251 - 500,8.54,Elvin Ivan Uy / Manuel V. Pangilinan,Metropolitan Manila,"Metropolitan Manila, Mandaluyong City",Economy & Politics & NGO
85,Aig Shared Services - Business Processing,1920,"1,001 - 5,000",8.53,Gary Wong,Metropolitan Manila,"Metropolitan Manila, Makati City",Business Services & Supplies
86,RiteMED Philippines,2002,"501 - 1,000",8.52,Jose Maria A. Ochave,Metropolitan Manila,"Metropolitan Manila, Mandaluyong City",Drugs & Biotechnology
87,Adidas,1949,>250,8.52,Bjørn Gulden,Metropolitan Manila,"Metropolitan Manila, Taguig City","Clothing, Shoes, Sports Equipment"
88,Department of Agrarian Reform (DAR),1971,"1,001 - 5,000",8.52,Conrado M. Estrella III.,Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
89,Megawide Construction,1997,>250,8.51,Edgar B. Saavedra,Metropolitan Manila,"Metropolitan Manila, Quezon City","Construction, Oil & Gas Operations, Mining and Chemicals"
90,Amazon Operation Services,2018,>250,8.51,Andy Jassy,Central Visayas,"Cebu, Cebu City",Business Services & Supplies
91,Toyota Motor Philippines,1988,"1,001 - 5,000",8.51,Atsuhiro Okamoto,Calabarzon,"Laguna, Sta Rosa City",Automotive (Automotive and Suppliers)
92,American Express International,1850,"1,001 - 5,000",8.51,Stephen J. Squeri,Metropolitan Manila,"Metropolitan Manila, Taguig City",Banking and Financial Services
93,The Manufacturers Life Insurance (Manulife),1907,>250,8.51,Rahul Hora,Ontario,"Toronto, Canada",Insurance
94,Hyundai Motor Philippines,1967,>250,8.51,Maria Fe Perez-Agudo,Metropolitan Manila,"Metropolitan Manila, Taguig City",Automotive (Automotive and Suppliers)
95,Coca-Cola Beverages,1981,">10,000",8.51,Gareth McGeown,Metropolitan Manila,"Metropolitan Manila, Taguig City","Food, Soft Beverages, Alcohol & Tobacco"
96,MedSpecialized,2010,"501 - 1,000",8.50,null,Central Visayas,"Cebu, Cebu City","IT, Internet, Software & Services"
97,Ateneo de Manila University,1859,>250,8.50,Fr Roberto C Yap SJ,Metropolitan Manila,"Metropolitan Manila, Quezon City",Education
98,Mang Inasal,2003,"1,001 - 5,000",8.50,Edgar Sia,Metropolitan Manila,"Metropolitan Manila, Pasig City",Restaurants
99,Rebisco,1963,>250,8.49,Jacinto Ng,Metropolitan Manila,"Metropolitan Manila, Pasig City","Food, Soft Beverages, Alcohol & Tobacco"
100,Negros Women for Tomorrow Foundation (NWTF),1984,>250,8.49,Suzzette D. Gaston,Western Visayas,"Negros Occidental, Bacolod City",Economy & Politics & NGO
101,SM Development Corporation,1958,"1,001 - 5,000",8.49,Jose Mari Banzon,Metropolitan Manila,"Metropolitan Manila, Pasay City",Real Estate
102,Batangas State University,1903,"1,001 - 5,000",8.49,Tirso A. Ronquillo,Calabarzon,"Batangas, Batangas City",Education
103,Frabelle Fishing,1966,"1,001 - 5,000",8.48,Francisco Tiu Laurel Jr.,Soccsksargen,"South Cotabato, Santos","Food, Soft Beverages, Alcohol & Tobacco"
104,Emapta Versatile Services,2010,"5,001 - 10,000",8.47,Tim Vorbach,Metropolitan Manila,"Metropolitan Manila, Makati City",Business Services & Supplies
